id,created_at,favorite_count,retweet_count,text
1466591780879618048,2021-12-03 02:15:03+00:00,56,8,"All-wheel drive. All aboard. #KiaSorento 

https://t.co/Rd7i8gZom4 https://t.co/TJCh1KmLR2"
1466145334439125001,2021-12-01 20:41:02+00:00,43,8,"The scenic route, no matter which way. #KiaTelluride

https://t.co/TcK7yNVimP https://t.co/BzUDbbzn8T"
1465415413752381441,2021-11-29 20:20:35+00:00,25,5,How do you move? Tag @kiausa and #MovementMonday with your epic adventure Kia footage for a chance to be featured. https://t.co/mp9ZRfbpXm
1465372512947257355,2021-11-29 17:30:07+00:00,12,1,"For #NativeAmericanHeritageMonth we've had the honor of partnering with ""Art Heals: The Jingle Dress Project"", learn more about the jingle dress dancers that are inspiring the world at @TapaheDesign. https://t.co/udGJ4MRzal"
1465372510430670853,2021-11-29 17:30:06+00:00,18,2,They've put their hearts into sharing their Native culture through dance and education. Through the project they are advocates for the Native American community bringing hope and healing where it's needed most. @TapaheDesign https://t.co/wKWJrnfNfw
1464809783404503049,2021-11-28 04:14:01+00:00,67,7,"Even the darkest clouds have a silver lining. #KiaTelluride Nightfall

https://t.co/TcK7yNVimP https://t.co/D9OlgqhWv7"
1464340699554459648,2021-11-26 21:10:03+00:00,39,5,"Our version of a Black Friday rush. #KiaStinger Scorpion

https://t.co/xn49GbzylK https://t.co/5z0dF0Jmjb"
1464280652841291777,2021-11-26 17:11:27+00:00,9,3,What's your family road trip vehicle of choice?
1463961959477522434,2021-11-25 20:05:04+00:00,42,3,"Enjoy a grand feast of creature comforts. #KiaCarnivalMPV

https://t.co/bvoc08dQNB https://t.co/Uxan02QMus"
1463547216031846408,2021-11-24 16:37:02+00:00,41,8,"The search for inspiration never stops.#KiaK5

https://t.co/rSgnSCRSTL https://t.co/XAoJDsVLMM"
1462956702043717634,2021-11-23 01:30:32+00:00,24,6,"It’s simple. If nature is the most inspiring force out there, there’s no innovation without it.
Visit our page to find out more on Kia's commitment to creating a more sustainable future: https://t.co/utUXVr2uJE
#Kia #MovementThatInspires #InnovationInspiredbyNature https://t.co/5JFKZj5HBv"
1462828986871029760,2021-11-22 17:03:03+00:00,16,5,"For Eugene and the dancers, ""this project has brought healing and hope to the world through the unity of the art of dance, culture, music, nature, and photography.” @TapaheDesign 
 
#NativeAmericanHeritageMonth https://t.co/ZdC8vJqt0h"
1462828733434404870,2021-11-22 17:02:02+00:00,16,4,"Each jingle on the jingle dress represents a prayer. Per Eugene, “One jingle doesn’t make a sound, but together they make a sound that heals.“Eugene was inspired to bring the dance to as many people as possible. Taking the dance across the US where their ancestors once walked. https://t.co/GSHuJV1psU"
1462828379997097993,2021-11-22 17:00:38+00:00,19,7,"We continue our celebration of #NativeAmericanHeritageMonth and our partnership with ""Art Heals: The Jingle Dress Project"", a project spanning thousands of miles across the country meant to bring healing through art and dance. @TapaheDesign https://t.co/95s5B8CN1Z"
